id_empleado,puesto,anos_experiencia,salario_anual_mxn_equiv,genero,nivel_educativo,pais,modalidad_trabajo,tamano_empresa
EMP0024,DevOps Engineer,1,649700,Femenino,Licenciatura,Chile,Híbrido,Mediana (50-500)
EMP0025,Backend Developer,0,367300,Masculino,Licenciatura,Colombia,Híbrido,Startup (<50)
EMP0026,DevOps Engineer,8,571600,Masculino,Maestría,Argentina,Híbrido,Mediana (50-500)
EMP0027,Data Scientist,4,1115900,Masculino,Maestría,México,Híbrido,Mediana (50-500)
EMP0028,DevOps Engineer,7,2085600,Masculino,Maestría,España,Remoto,Mediana (50-500)
EMP0029,Product Manager,5,1404300,Masculino,Técnico,España,Remoto,Grande (>500)
EMP0030,Data Analyst,4,498800,Masculino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0031,DevOps Engineer,5,459900,Masculino,Licenciatura,Colombia,Remoto,Grande (>500)
EMP0032,Data Analyst,4,657600,Masculino,Maestría,México,Híbrido,Startup (<50)
EMP0033,Product Manager,2,912000,Masculino,Maestría,Chile,Presencial,Mediana (50-500)
EMP0034,Frontend Developer,10,526600,Masculino,Licenciatura,Argentina,Remoto,Grande (>500)
EMP0035,Backend Developer,0,961900,No binario,Licenciatura,España,Remoto,Startup (<50)
EMP0036,Data Scientist,3,948400,Femenino,Maestría,Chile,Presencial,Grande (>500)
EMP0037,Backend Developer,1,395600,Masculino,Licenciatura,Argentina,Presencial,Grande (>500)
EMP0038,ML Engineer,0,469700,Femenino,Técnico,Argentina,Remoto,Grande (>500)
EMP0039,DevOps Engineer,3,498700,Masculino,Maestría,Colombia,Remoto,Startup (<50)
EMP0040,DevOps Engineer,3,612500,Masculino,Maestría,Argentina,Híbrido,Mediana (50-500)
EMP0041,QA Engineer,12,372000,Masculino,Licenciatura,Argentina,Remoto,Mediana (50-500)
EMP0042,Data Scientist,1,384200,Masculino,Técnico,Colombia,Híbrido,Startup (<50)
EMP0043,DevOps Engineer,9,1331100,Masculino,Maestría,México,Presencial,Grande (>500)
EMP0044,Backend Developer,2,362500,Femenino,Maestría,Argentina,Remoto,Startup (<50)
EMP0045,Backend Developer,0,646800,Femenino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0046,Product Manager,2,897200,Femenino,Técnico,México,Remoto,Mediana (50-500)
EMP0047,Backend Developer,0,628700,Masculino,Técnico,Chile,Remoto,Grande (>500)
EMP0048,Backend Developer,14,596200,Masculino,Técnico,Argentina,Híbrido,Grande (>500)
EMP0049,Product Manager,2,518900,Femenino,Licenciatura,Argentina,Híbrido,Mediana (50-500)
EMP0050,Frontend Developer,1,989400,Femenino,Licenciatura,España,Híbrido,Mediana (50-500)
EMP0051,QA Engineer,9,932800,Femenino,Doctorado,México,Híbrido,Mediana (50-500)
EMP0052,Data Analyst,4,551900,Masculino,Licenciatura,Chile,Presencial,Grande (>500)
EMP0053,Data Scientist,0,491000,Masculino,Maestría,Argentina,Híbrido,Startup (<50)
EMP0054,Data Analyst,1,776300,Femenino,Maestría,México,Remoto,Startup (<50)
EMP0055,Frontend Developer,2,1331600,Masculino,Licenciatura,España,Remoto,Mediana (50-500)
EMP0056,Frontend Developer,4,478200,Masculino,Maestría,Argentina,Remoto,Mediana (50-500)
EMP0057,QA Engineer,0,581200,Masculino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0058,Data Analyst,0,617300,Masculino,Licenciatura,México,Remoto,Startup (<50)
EMP0059,QA Engineer,0,290300,Femenino,Licenciatura,Colombia,Presencial,Mediana (50-500)
EMP0060,Product Manager,18,1279700,Femenino,Técnico,México,Remoto,Grande (>500)
EMP0061,DevOps Engineer,0,576600,Masculino,Licenciatura,Chile,Híbrido,Startup (<50)
EMP0062,DevOps Engineer,13,1213400,Femenino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0063,QA Engineer,1,470400,Femenino,Técnico,México,Remoto,Grande (>500)
EMP0064,Backend Developer,7,2032900,Masculino,Licenciatura,España,Presencial,Startup (<50)
EMP0065,Frontend Developer,4,1014600,Masculino,Licenciatura,España,Híbrido,Grande (>500)
EMP0066,Backend Developer,1,705800,Femenino,Maestría,México,Remoto,Mediana (50-500)
EMP0067,Backend Developer,6,1558300,Femenino,Licenciatura,España,Remoto,Grande (>500)
EMP0068,Product Manager,0,699400,Femenino,Licenciatura,México,Híbrido,Grande (>500)
EMP0069,DevOps Engineer,1,1292900,Masculino,Licenciatura,España,Híbrido,Grande (>500)
EMP0070,Data Analyst,3,788600,Femenino,Licenciatura,México,Remoto,Grande (>500)
EMP0071,Frontend Developer,0,886500,Femenino,Doctorado,México,Remoto,Startup (<50)
EMP0072,Data Scientist,0,610200,Femenino,Técnico,Chile,Híbrido,Mediana (50-500)
EMP0073,Frontend Developer,1,689700,Masculino,Técnico,México,Remoto,Grande (>500)
EMP0074,ML Engineer,5,818200,Masculino,Maestría,Colombia,Híbrido,Mediana (50-500)
EMP0075,Data Scientist,1,497100,Masculino,Maestría,Colombia,Remoto,Mediana (50-500)
EMP0076,QA Engineer,2,587600,Femenino,Maestría,México,Híbrido,Grande (>500)
EMP0077,Data Analyst,0,356500,Femenino,Maestría,Argentina,Remoto,Grande (>500)
EMP0078,ML Engineer,5,593400,Femenino,Licenciatura,Argentina,Remoto,Startup (<50)
EMP0079,Backend Developer,1,672900,Femenino,Licenciatura,México,Híbrido,Grande (>500)
EMP0080,Data Scientist,6,1080800,Femenino,Maestría,México,Híbrido,Mediana (50-500)
EMP0081,DevOps Engineer,6,1090500,Masculino,Licenciatura,México,Presencial,Startup (<50)
EMP0082,QA Engineer,1,262700,Femenino,Técnico,Colombia,Remoto,Mediana (50-500)
EMP0083,Frontend Developer,4,889400,Femenino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0084,Data Analyst,3,732400,Femenino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0085,Backend Developer,3,920200,Masculino,Maestría,México,Remoto,Grande (>500)
EMP0086,Data Analyst,0,789700,Masculino,Doctorado,México,Presencial,Startup (<50)
EMP0087,Data Analyst,14,820100,Femenino,Técnico,México,Híbrido,Grande (>500)
EMP0088,Data Analyst,1,593300,Femenino,Licenciatura,México,Remoto,Startup (<50)
EMP0089,DevOps Engineer,0,1264000,Masculino,Maestría,España,Presencial,Grande (>500)
EMP0090,ML Engineer,1,491500,Masculino,Licenciatura,Colombia,Remoto,Startup (<50)
EMP0091,Product Manager,15,1194000,No binario,Doctorado,Colombia,Remoto,Startup (<50)
EMP0092,QA Engineer,5,433800,Masculino,Licenciatura,Argentina,Presencial,Startup (<50)
EMP0093,ML Engineer,1,905000,Femenino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0094,ML Engineer,20,931900,Masculino,Licenciatura,Argentina,Remoto,Startup (<50)
EMP0095,Backend Developer,3,443600,Masculino,Licenciatura,Argentina,Remoto,Startup (<50)
EMP0096,Data Scientist,2,607900,Femenino,Técnico,México,Presencial,Startup (<50)
EMP0097,QA Engineer,7,413100,Masculino,Maestría,Argentina,Híbrido,Mediana (50-500)
EMP0098,Backend Developer,9,1051400,Femenino,Maestría,Chile,Remoto,Mediana (50-500)
EMP0099,Data Scientist,0,647500,Masculino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0100,ML Engineer,5,1621300,Masculino,Licenciatura,España,Presencial,Grande (>500)
EMP0101,ML Engineer,0,1726100,Femenino,Maestría,España,Presencial,Grande (>500)
EMP0102,Data Analyst,9,1420500,Femenino,Maestría,España,Remoto,Grande (>500)
EMP0103,Backend Developer,7,867200,Masculino,Técnico,México,Remoto,Mediana (50-500)
EMP0104,Product Manager,3,1028200,Masculino,Maestría,México,Híbrido,Mediana (50-500)
EMP0105,Data Analyst,6,1141400,Masculino,Licenciatura,España,Remoto,Grande (>500)
EMP0106,DevOps Engineer,1,821700,Femenino,Licenciatura,México,Remoto,Startup (<50)
EMP0107,Frontend Developer,6,653200,Femenino,Técnico,Chile,Híbrido,Mediana (50-500)
EMP0108,Product Manager,0,446500,Masculino,Licenciatura,Chile,Presencial,Grande (>500)
EMP0109,QA Engineer,10,528400,Femenino,Maestría,Argentina,Remoto,Mediana (50-500)
EMP0110,Frontend Developer,9,479300,Masculino,Técnico,Argentina,Remoto,Grande (>500)
EMP0111,Data Scientist,3,666200,Masculino,Doctorado,Argentina,Remoto,Startup (<50)
EMP0112,QA Engineer,1,445200,No binario,Licenciatura,México,Presencial,Grande (>500)
EMP0113,Product Manager,2,589800,Femenino,Licenciatura,Colombia,Remoto,Startup (<50)
EMP0114,Data Scientist,10,691600,Femenino,Maestría,Argentina,Remoto,Mediana (50-500)
EMP0115,Frontend Developer,10,904100,Femenino,Licenciatura,México,Remoto,Mediana (50-500)
EMP0116,ML Engineer,0,770800,Masculino,Licenciatura,Chile,Híbrido,Grande (>500)
EMP0117,Product Manager,6,974900,Masculino,Técnico,Chile,Híbrido,Mediana (50-500)
EMP0118,Data Analyst,2,607600,Femenino,Técnico,México,Híbrido,Startup (<50)
EMP0119,DevOps Engineer,4,846300,Masculino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0120,Backend Developer,1,671100,Masculino,Licenciatura,México,Híbrido,Grande (>500)
EMP0121,Data Scientist,12,2034800,Masculino,Licenciatura,España,Presencial,Grande (>500)
EMP0122,Backend Developer,1,1611300,Femenino,Maestría,España,Híbrido,Mediana (50-500)
EMP0123,Frontend Developer,0,644200,Masculino,Maestría,México,Presencial,Grande (>500)
EMP0124,Data Analyst,6,897900,Masculino,Maestría,México,Híbrido,Grande (>500)
EMP0125,ML Engineer,3,968900,Femenino,Maestría,Chile,Presencial,Mediana (50-500)
EMP0126,DevOps Engineer,1,825200,Femenino,Técnico,México,Remoto,Startup (<50)
EMP0127,Product Manager,1,637000,Masculino,Maestría,Colombia,Presencial,Grande (>500)
EMP0128,Product Manager,0,1374600,Masculino,Licenciatura,España,Presencial,Mediana (50-500)
EMP0129,Product Manager,1,494800,Masculino,Maestría,Argentina,Presencial,Grande (>500)
EMP0130,ML Engineer,6,531300,Masculino,Licenciatura,Colombia,Remoto,Mediana (50-500)
EMP0131,ML Engineer,4,2023100,Masculino,Licenciatura,España,Híbrido,Grande (>500)
EMP0132,ML Engineer,4,600800,Femenino,Licenciatura,Argentina,Híbrido,Startup (<50)
EMP0133,Data Analyst,6,654600,Masculino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0134,DevOps Engineer,10,1206500,Masculino,Licenciatura,México,Remoto,Mediana (50-500)
EMP0135,QA Engineer,9,1548200,Femenino,Técnico,España,Remoto,Grande (>500)
EMP0136,ML Engineer,2,454800,Masculino,Licenciatura,Colombia,Híbrido,Mediana (50-500)
EMP0137,Frontend Developer,1,667800,Femenino,Licenciatura,México,Remoto,Mediana (50-500)
EMP0138,QA Engineer,5,1228300,Masculino,Maestría,España,Híbrido,Mediana (50-500)
EMP0139,Data Analyst,0,683400,Femenino,Maestría,México,Remoto,Mediana (50-500)
EMP0140,Data Analyst,2,250400,Femenino,Técnico,Argentina,Presencial,Grande (>500)
EMP0141,DevOps Engineer,0,873400,Femenino,Licenciatura,México,Presencial,Startup (<50)
EMP0142,DevOps Engineer,1,764000,Masculino,Maestría,Chile,Remoto,Mediana (50-500)
EMP0143,Backend Developer,21,665400,No binario,Licenciatura,Argentina,Presencial,Mediana (50-500)
EMP0144,Data Analyst,3,1368500,Femenino,Maestría,España,Remoto,Grande (>500)
EMP0145,QA Engineer,2,936900,Masculino,Maestría,España,Híbrido,Grande (>500)
EMP0146,Frontend Developer,1,619800,Masculino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0147,DevOps Engineer,4,1047100,Masculino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0148,Product Manager,1,497600,Femenino,Licenciatura,Argentina,Híbrido,Grande (>500)
EMP0149,Data Scientist,5,579900,Masculino,Maestría,Argentina,Híbrido,Grande (>500)
EMP0150,DevOps Engineer,0,282000,No binario,Licenciatura,Argentina,Híbrido,Startup (<50)
EMP0151,Product Manager,7,773400,Masculino,Maestría,Colombia,Híbrido,Mediana (50-500)
EMP0152,ML Engineer,13,899600,Masculino,Doctorado,Colombia,Remoto,Startup (<50)
EMP0153,ML Engineer,5,1487500,Femenino,Licenciatura,España,Remoto,Startup (<50)
EMP0154,DevOps Engineer,0,1102000,Masculino,Técnico,España,Híbrido,Startup (<50)
EMP0155,Backend Developer,0,386900,Masculino,Técnico,Colombia,Remoto,Mediana (50-500)
EMP0156,Data Scientist,0,1166800,Masculino,Licenciatura,España,Híbrido,Startup (<50)
EMP0157,QA Engineer,5,828500,Femenino,Técnico,España,Presencial,Grande (>500)
EMP0158,Data Analyst,9,908700,No binario,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0159,Data Analyst,1,1157100,Masculino,Licenciatura,España,Remoto,Grande (>500)
EMP0160,Data Analyst,0,610100,Masculino,Maestría,México,Remoto,Grande (>500)
EMP0161,Product Manager,5,739200,Femenino,Doctorado,Argentina,Remoto,Startup (<50)
EMP0162,Data Scientist,8,780500,Masculino,Técnico,Chile,Presencial,Grande (>500)
EMP0163,DevOps Engineer,1,1237700,Femenino,Doctorado,México,Híbrido,Startup (<50)
EMP0164,Data Scientist,3,478400,Masculino,Licenciatura,Argentina,Remoto,Mediana (50-500)
EMP0165,QA Engineer,1,348700,Masculino,Licenciatura,Colombia,Presencial,Grande (>500)
EMP0166,Product Manager,0,931600,Masculino,Maestría,México,Híbrido,Startup (<50)
EMP0167,Frontend Developer,5,543800,No binario,Doctorado,Colombia,Remoto,Grande (>500)
EMP0168,ML Engineer,22,2752000,Masculino,Técnico,España,Remoto,Startup (<50)
EMP0169,QA Engineer,19,1230600,Femenino,Técnico,México,Remoto,Grande (>500)
EMP0170,DevOps Engineer,1,367100,Masculino,Licenciatura,Argentina,Remoto,Grande (>500)
EMP0171,QA Engineer,3,701200,Femenino,Maestría,México,Presencial,Mediana (50-500)
EMP0172,Data Analyst,2,406100,Femenino,Maestría,Argentina,Presencial,Mediana (50-500)
EMP0173,Product Manager,5,1070300,No binario,Maestría,México,Remoto,Startup (<50)
EMP0174,QA Engineer,0,354800,Masculino,Maestría,Argentina,Híbrido,Grande (>500)
EMP0175,Frontend Developer,2,653800,Masculino,Licenciatura,México,Presencial,Startup (<50)
EMP0176,ML Engineer,1,605800,Femenino,Maestría,Colombia,Híbrido,Grande (>500)
EMP0177,ML Engineer,5,1677700,Femenino,Licenciatura,España,Remoto,Grande (>500)
EMP0178,Backend Developer,10,1224600,Masculino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0179,ML Engineer,0,1099900,Femenino,Doctorado,México,Presencial,Mediana (50-500)
EMP0180,ML Engineer,10,1791700,Femenino,Maestría,México,Híbrido,Mediana (50-500)
EMP0181,Backend Developer,4,726300,Femenino,Técnico,México,Presencial,Mediana (50-500)
EMP0182,Data Analyst,7,645400,Femenino,Licenciatura,México,Presencial,Grande (>500)
EMP0183,QA Engineer,2,647800,Femenino,Maestría,México,Remoto,Mediana (50-500)
EMP0184,ML Engineer,6,1058300,Femenino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0185,Data Scientist,3,1423300,Masculino,Licenciatura,España,Híbrido,Mediana (50-500)
EMP0186,ML Engineer,1,568500,Masculino,Maestría,Colombia,Híbrido,Grande (>500)
EMP0187,Frontend Developer,0,286900,Femenino,Técnico,Argentina,Remoto,Startup (<50)
EMP0188,Backend Developer,0,690900,Masculino,Licenciatura,México,Híbrido,Startup (<50)
EMP0189,ML Engineer,0,299100,Femenino,Técnico,Colombia,Híbrido,Mediana (50-500)
EMP0190,QA Engineer,6,1132300,Masculino,Licenciatura,España,Remoto,Grande (>500)
EMP0191,Data Analyst,1,643100,Masculino,Licenciatura,México,Remoto,Grande (>500)
EMP0192,Data Analyst,1,572300,Femenino,Licenciatura,México,Remoto,Mediana (50-500)
EMP0193,Frontend Developer,0,680300,Masculino,Maestría,Chile,Remoto,Mediana (50-500)
EMP0194,Data Scientist,0,981300,Masculino,Maestría,México,Híbrido,Startup (<50)
EMP0195,ML Engineer,1,760200,Femenino,Maestría,Chile,Híbrido,Mediana (50-500)
EMP0196,Data Scientist,9,1089200,Masculino,Maestría,Chile,Remoto,Grande (>500)
EMP0197,ML Engineer,0,869200,Masculino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0198,Backend Developer,22,1633700,Masculino,Maestría,México,Remoto,Mediana (50-500)
EMP0199,QA Engineer,5,644100,Femenino,Licenciatura,México,Híbrido,Grande (>500)
EMP0200,Product Manager,4,876400,Femenino,Licenciatura,México,Remoto,Startup (<50)
EMP0201,Backend Developer,4,1496500,Masculino,Maestría,España,Híbrido,Startup (<50)
EMP0202,QA Engineer,0,493000,Masculino,Técnico,México,Presencial,Grande (>500)
EMP0203,ML Engineer,0,819200,Masculino,Licenciatura,Chile,Híbrido,Mediana (50-500)
EMP0204,Product Manager,0,878100,Femenino,Maestría,Chile,Presencial,Startup (<50)
EMP0205,DevOps Engineer,2,1051900,Masculino,Maestría,México,Remoto,Startup (<50)
EMP0206,ML Engineer,0,733000,Femenino,Licenciatura,Chile,Remoto,Startup (<50)
EMP0207,Frontend Developer,8,1065700,Femenino,Maestría,México,Remoto,Startup (<50)
EMP0208,QA Engineer,4,284800,Femenino,Licenciatura,Colombia,Remoto,Grande (>500)
EMP0209,Data Analyst,0,522800,Masculino,Maestría,México,Remoto,Startup (<50)
EMP0210,Frontend Developer,4,883300,Femenino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0211,Backend Developer,1,629600,Masculino,Licenciatura,México,Remoto,Grande (>500)
EMP0212,Backend Developer,14,1425300,Masculino,Licenciatura,México,Remoto,Grande (>500)
EMP0213,Data Scientist,7,768800,Masculino,Técnico,México,Híbrido,Mediana (50-500)
EMP0214,Product Manager,1,478700,Masculino,Doctorado,Argentina,Híbrido,Mediana (50-500)
EMP0215,DevOps Engineer,2,719400,Masculino,Maestría,Chile,Híbrido,Mediana (50-500)
EMP0216,Backend Developer,2,399700,Femenino,Licenciatura,Argentina,Remoto,Startup (<50)
EMP0217,ML Engineer,1,2183200,Femenino,Doctorado,España,Híbrido,Startup (<50)
EMP0218,Frontend Developer,5,1066700,Masculino,Doctorado,México,Remoto,Startup (<50)
EMP0219,ML Engineer,3,1110600,Femenino,Maestría,México,Remoto,Grande (>500)
EMP0220,QA Engineer,0,659600,Femenino,Licenciatura,México,Presencial,Startup (<50)
EMP0221,Product Manager,4,1250000,Femenino,Maestría,México,Remoto,Startup (<50)
EMP0222,QA Engineer,0,257000,Masculino,Licenciatura,Argentina,Remoto,Mediana (50-500)
EMP0223,Data Analyst,0,518400,Masculino,Técnico,México,Remoto,Mediana (50-500)
EMP0224,Data Analyst,1,484100,Femenino,Licenciatura,Chile,Híbrido,Startup (<50)
EMP0225,Data Scientist,3,383800,Masculino,Técnico,Argentina,Híbrido,Startup (<50)
EMP0226,Data Analyst,1,530000,Femenino,Doctorado,Colombia,Remoto,Startup (<50)
EMP0227,Data Analyst,2,937600,Femenino,Doctorado,México,Híbrido,Startup (<50)
EMP0228,Product Manager,9,1010400,Masculino,Técnico,México,Híbrido,Grande (>500)
EMP0229,ML Engineer,7,1207500,No binario,Licenciatura,México,Remoto,Grande (>500)
EMP0230,Product Manager,1,462200,Femenino,Licenciatura,Argentina,Remoto,Mediana (50-500)
EMP0231,DevOps Engineer,8,2189000,Masculino,Maestría,España,Presencial,Startup (<50)
EMP0232,QA Engineer,0,416400,No binario,Licenciatura,Chile,Híbrido,Grande (>500)
EMP0233,Data Analyst,5,618300,Femenino,Licenciatura,Chile,Presencial,Startup (<50)
EMP0234,DevOps Engineer,1,824400,Masculino,Licenciatura,México,Híbrido,Grande (>500)
EMP0235,QA Engineer,0,338100,Femenino,Maestría,Colombia,Presencial,Mediana (50-500)
EMP0236,QA Engineer,0,469900,Femenino,Licenciatura,México,Híbrido,Mediana (50-500)
EMP0237,Data Analyst,0,354000,Femenino,Técnico,Chile,Remoto,Startup (<50)
EMP0238,QA Engineer,0,522800,Femenino,Licenciatura,México,Remoto,Grande (>500)
EMP0239,Product Manager,7,2115200,Masculino,Licenciatura,España,Remoto,Startup (<50)
EMP0240,ML Engineer,0,1471000,Masculino,Maestría,España,Remoto,Grande (>500)
EMP0241,Frontend Developer,0,897300,Femenino,Licenciatura,España,Presencial,Startup (<50)
EMP0242,QA Engineer,1,732300,Masculino,Maestría,México,Presencial,Mediana (50-500)
EMP0243,Data Analyst,5,1241700,Masculino,Doctorado,España,Remoto,Mediana (50-500)
EMP0244,Frontend Developer,0,523000,Masculino,Técnico,Chile,Presencial,Mediana (50-500)
EMP0245,Product Manager,2,1631500,Masculino,Maestría,España,Remoto,Grande (>500)
EMP0246,Data Scientist,7,1125900,Masculino,Licenciatura,México,Presencial,Startup (<50)
EMP0247,ML Engineer,9,787700,Femenino,Maestría,Argentina,Híbrido,Grande (>500)
EMP0248,QA Engineer,3,316800,Masculino,Licenciatura,Colombia,Presencial,Startup (<50)
EMP0249,Data Scientist,18,3438300,Femenino,Maestría,España,Híbrido,Grande (>500)
EMP0250,Data Scientist,2,393800,Femenino,Licenciatura,Argentina,Remoto,Startup (<50)
EMP0251,Backend Developer,10,566600,Femenino,Maestría,Argentina,Híbrido,Startup (<50)
EMP0252,Frontend Developer,5,375200,Femenino,Técnico,Colombia,Remoto,Startup (<50)
EMP0253,Data Analyst,4,731500,Masculino,Maestría,México,Presencial,Grande (>500)
EMP0254,DevOps Engineer,1,687100,Masculino,Maestría,México,Remoto,Grande (>500)
EMP0255,Frontend Developer,9,815700,Masculino,Maestría,Chile,Presencial,Grande (>500)
EMP0256,ML Engineer,1,524800,Femenino,Licenciatura,Colombia,Remoto,Mediana (50-500)
EMP0257,Backend Developer,3,765200,Femenino,Licenciatura,México,Remoto,Mediana (50-500)
EMP0258,Data Analyst,6,603000,Femenino,Técnico,México,Remoto,Mediana (50-500)
EMP0259,ML Engineer,1,702800,Masculino,Maestría,Chile,Híbrido,Mediana (50-500)
EMP0260,DevOps Engineer,1,1035400,Femenino,Doctorado,México,Presencial,Mediana (50-500)
EMP0261,Data Scientist,3,418800,Femenino,Licenciatura,Argentina,Remoto,Startup (<50)
EMP0262,DevOps Engineer,3,804500,Femenino,Maestría,México,Híbrido,Startup (<50)
EMP0263,Data Analyst,4,641000,Masculino,Maestría,Chile,Remoto,Startup (<50)
EMP0264,ML Engineer,2,375800,Masculino,Licenciatura,Argentina,Remoto,Mediana (50-500)
EMP0265,DevOps Engineer,1,431600,Femenino,Licenciatura,Argentina,Remoto,Mediana (50-500)
EMP0266,Backend Developer,1,451100,Femenino,Licenciatura,Colombia,Presencial,Mediana (50-500)
EMP0267,Backend Developer,0,1034400,No binario,Licenciatura,España,Presencial,Grande (>500)
EMP0268,Product Manager,15,1236400,Femenino,Licenciatura,México,Presencial,Mediana (50-500)
EMP0269,ML Engineer,0,1894000,Masculino,Maestría,España,Presencial,Mediana (50-500)
EMP0270,Data Analyst,10,425600,Masculino,Licenciatura,Colombia,Presencial,Grande (>500)
EMP0271,DevOps Engineer,6,1009500,Masculino,Técnico,México,Remoto,Grande (>500)
EMP0272,QA Engineer,3,1069400,Masculino,Licenciatura,España,Híbrido,Grande (>500)
EMP0273,Data Scientist,2,779200,Femenino,Técnico,México,Remoto,Mediana (50-500)
EMP0274,Data Scientist,2,1985700,Masculino,Doctorado,España,Presencial,Mediana (50-500)
EMP0275,Product Manager,4,856500,Masculino,Técnico,México,Remoto,Mediana (50-500)
EMP0276,Backend Developer,9,1124900,Femenino,Maestría,Chile,Híbrido,Grande (>500)
EMP0277,Data Analyst,4,658000,Femenino,Licenciatura,Chile,Remoto,Startup (<50)
EMP0278,DevOps Engineer,0,541500,Masculino,Doctorado,Colombia,Remoto,Grande (>500)
EMP0279,Product Manager,0,758900,Masculino,Licenciatura,México,Remoto,Startup (<50)
EMP0280,Frontend Developer,2,936300,Femenino,Maestría,México,Remoto,Startup (<50)
EMP0281,ML Engineer,9,444400,Masculino,Licenciatura,Argentina,Remoto,Grande (>500)
EMP0282,Product Manager,6,802000,Femenino,Maestría,Colombia,Híbrido,Startup (<50)
EMP0283,Backend Developer,2,668100,Femenino,Licenciatura,México,Híbrido,Grande (>500)
EMP0284,ML Engineer,0,385200,Masculino,Técnico,Argentina,Presencial,Grande (>500)
EMP0285,Product Manager,0,514100,Masculino,Maestría,Colombia,Remoto,Grande (>500)
EMP0286,QA Engineer,8,1512300,Masculino,Maestría,España,Híbrido,Startup (<50)
EMP0287,Frontend Developer,4,800200,Femenino,Licenciatura,México,Remoto,Grande (>500)
EMP0288,ML Engineer,10,1451700,Femenino,Licenciatura,México,Remoto,Startup (<50)
EMP0289,QA Engineer,10,607000,Femenino,Técnico,Chile,Remoto,Mediana (50-500)
EMP0290,ML Engineer,1,857400,Femenino,Licenciatura,México,Remoto,Startup (<50)
EMP0291,ML Engineer,3,2523600,Masculino,Doctorado,España,Presencial,Mediana (50-500)
EMP0292,DevOps Engineer,0,706700,Masculino,Licenciatura,Chile,Remoto,Mediana (50-500)
EMP0293,Data Scientist,7,1205300,Masculino,Maestría,México,Remoto,Grande (>500)
EMP0294,QA Engineer,0,729000,Masculino,Doctorado,México,Presencial,Grande (>500)
EMP0295,ML Engineer,2,995000,Masculino,Licenciatura,México,Remoto,Grande (>500)
EMP0296,Data Scientist,9,2000100,Masculino,Licenciatura,España,Presencial,Startup (<50)
EMP0297,ML Engineer,2,1072400,Masculino,Doctorado,Chile,Híbrido,Mediana (50-500)
